i: 844, d: 874, x: 3725
i: 845, d: 875, x: 120126
i: 846, d: 876, x: 10951
i: 847, d: 877, x: 0
i: 848, d: 878, x: 9314703
i: 849, d: 879, x: 107245324
i: 850, d: 880, x: 89
i: 851, d: 881, x: 0
i: 852, d: 882, x: 19601
i: 853, d: 883, x: 0
i: 854, d: 884, x: 1665
i: 855, d: 885, x: 119
i: 856, d: 886, x: 0
i: 857, d: 887, x: 469224
i: 858, d: 888, x: 149
i: 859, d: 889, x: 0
i: 860, d: 890, x: 179
i: 861, d: 891, x: 3970
i: 862, d: 892, x: 100351
i: 863, d: 893, x: 0
i: 864, d: 894, x: 299
i: 865, d: 895, x: 359
i: 866, d: 896, x: 449
i: 867, d: 897, x: 599
i: 868, d: 898, x: 899
i: 869, d: 899, x: 30
i: 870, d: 901, x: 1801
i: 871, d: 902, x: 901
i: 872, d: 903, x: 601
i: 873, d: 904, x: 451
i: 874, d: 905, x: 361
i: 875, d: 906, x: 301
i: 876, d: 907, x: 0
i: 877, d: 908, x: 102151
i: 878, d: 909, x: 80801
i: 879, d: 910, x: 181
i: 880, d: 911, x: 0
i: 881, d: 912, x: 151
i: 882, d: 913, x: 0
i: 883, d: 914, x: 62563299
i: 884, d: 915, x: 121
i: 885, d: 916, x: 5848201
i: 886, d: 917, x: 823604599
i: 887, d: 918, x: 4120901
i: 888, d: 919, x: 0
i: 889, d: 920, x: 91
i: 890, d: 921, x: 0
i: 891, d: 922, x: 0
